"","V1","V2","V3","V4","Sample.ID","Subject","Site","Month","Collection.Date","Sample.Type","Season","Year","Cohort","Cohort_label"
"113",-0.265158473890422,0.0182506826352114,-0.368403028637698,0.136974903889346,"C0206-F001NS01","Cow 02","Farm 06","Sep","2019-09-25","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"114",-0.251389525136797,0.0814422078157615,-0.196698521483188,0.104188193362592,"C0206-P001NS01","Cow 02","Farm 06","Apr","2019-04-18","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"115",-0.198407711198088,0.0528458185045376,-0.174994676665926,0.127915488108449,"C0206-S001NS01","Cow 02","Farm 06","Jun","2019-06-19","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"116",-0.234249145218583,-0.03067647553572,-0.203712532733618,0.0896624148439096,"C0207-F001NS01","Cow 02","Farm 07","Oct","2019-10-01","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"117",-0.149934781755162,0.128808453815449,0.00339688956376151,0.610736725210037,"C0207-P001NS01","Cow 02","Farm 07","Apr","2019-04-16","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"118",-0.200432394687691,0.104757491619414,-0.0926692542943265,0.162245632510904,"C0207-S001NS01","Cow 02","Farm 07","Jun","2019-06-18","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"119",-0.280863901298723,0.0624795436774025,-0.234294266764366,0.0566784338831888,"C0207-V401NS01","Cow 02","Farm 07","Dec","2019-12-17","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"120",-0.21788609990273,0.231955878964271,0.120006199416618,0.0465423511911512,"C0208-P001NS01","Cow 02","Farm 08","Apr","2019-04-18","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"121",-0.291624326179901,0.356241518618656,0.288550229861225,-0.106415223792574,"C0209-F001NS01","Cow 02","Farm 09","Oct","2019-10-21","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"122",-0.197907511001671,-0.219116328070236,0.0277188068254827,-0.0657411901780689,"C0209-S001NS01","Cow 02","Farm 09","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"123",-0.271400180059652,0.129543760944849,0.145052382473015,-0.0254882008289378,"C0210-F001NS01","Cow 02","Farm 10","Oct","2019-10-21","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
"124",-0.22030911418999,0.105755617604933,0.0337905461482252,0.0106129667145486,"C0210-P001NS01","Cow 02","Farm 10","May","2019-05-06","NASAL SWAB","Spring","Year 1","Cow","Cow (N=1186)"
"125",-0.171625728792437,-0.358393183156725,0.0413453653781655,-0.0429428929696733,"C0210-S001NS01","Cow 02","Farm 10","Aug","2019-08-05","NASAL SWAB","Summer","Year 1","Cow","Cow (N=1186)"
"126",-0.331249185705757,0.117276566464221,0.245628606497829,-0.199437435548873,"C0210-V401NS01","Cow 02","Farm 10","Jan","2020-01-13","NASAL SWAB","Winter","Year 1","Cow","Cow (N=1186)"
"127",-0.151671610759788,-0.00656230322699433,-0.010961537151737,0.0654394891420945,"C0211-F001NS01","Cow 02","Farm 11","Oct","2019-10-23","NASAL SWAB","Autumn","Year 1","Cow","Cow (N=1186)"
